esgScores
86400
18.88
2.33
7.98
8.58
2025
8
3.0
240
LAG_PERF
Technology Hardware
['Customer Incidents;Business Ethics Incidents']
"{'min': 4.51, 'avg': 17.055041666666668, 'max': 34.19}"
"{'min': 0.76, 'avg': 4.765543478260867, 'max': 10.16}"
"{'min': 1.4, 'avg': 5.3193478260869576, 'max': 12.45}"
"{'min': 0.17, 'avg': 4.501956521739129, 'max': 11.6}"
"{'min': 0.0, 'avg': 0.55, 'max': 3.0}"
""
""
""
""
False
False
False
""
False
False
False
False
False
False
False
False
False
False
False
