esgScores
86400
16.91
3.68
8.42
4.8
2025
8
2.0
581
LAG_PERF
Software & Services
['Customer Incidents;Business Ethics Incidents;Society & Community Incidents;Employee Incidents']
"{'min': 7.44, 'avg': 21.25471600688469, 'max': 33.72}"
"{'min': 0.98, 'avg': 5.553599999999998, 'max': 10.47}"
"{'min': 4.49, 'avg': 10.071280000000003, 'max': 21.64}"
"{'min': 0.05, 'avg': 3.2804, 'max': 7.05}"
"{'min': 0.0, 'avg': 0.6781411359724613, 'max': 4.0}"
""
""
""
""
False
False
False
""
False
False
False
False
False
False
False
False
False
False
False
